model,omics,n_modalities,drug_rep,n_pairs,n_features,mean_only_rmse,val_rmse,val_mae,val_r2,val_pcc,val_scc,val_auc,val_f1,test_rmse,test_mae,test_r2,test_pcc,test_scc,test_auc,test_f1,params,best_epoch,fit_seconds
MLP,GE,1,onehot,134764,423,2.709749937057495,1.3868589401245117,1.0472971200942993,0.7551019742434406,0.8690228562829291,0.8261392210617485,0.902690858840336,0.8200656352555087,1.3995407819747925,1.0726875066757202,0.7321022827578639,0.8601970609963489,0.8121507853153361,0.8990136634562539,0.8161047780742178,383233,24,212.74624568800027
MLP,GE,1,onehot_restricted,111799,368,2.7689719200134277,1.4203015565872192,1.0754127502441406,0.7548337091164283,0.8693497590540696,0.8255738604982459,0.9028884809815819,0.8198013018156903,1.3906129598617554,1.0569820404052734,0.7466754433410718,0.8667105041929262,0.8225791217616679,0.9039715116201501,0.8254299114121939,355073,39,209.42020527399836
MLP,GE,1,fingerprint,111799,2176,2.7689719200134277,1.3719844818115234,1.0432891845703125,0.7712305459489557,0.8791176326755029,0.8306165469682849,0.9046648623011815,0.8212073855414713,1.3638873100280762,1.0324279069900513,0.756318992865217,0.8721779290977361,0.8272931663313828,0.9075173870338875,0.8270633175136011,1280769,11,60.24138718500035
MLP,Mut_CNV,1,onehot,134764,423,2.709749937057495,2.1084842681884766,1.6112333536148071,0.4339412573744088,0.679257907078689,0.6088154271191004,0.7936234776762359,0.7162071925975388,2.166184902191162,1.6035637855529785,0.3582157696789052,0.6473140321526586,0.5994619337967679,0.7886485882624436,0.7078752748350989,383233,3,15.730428393999318
MLP,Mut_CNV,1,onehot_restricted,111799,368,2.7689719200134277,2.102505922317505,1.6019960641860962,0.46275288481708166,0.6922385341607378,0.6258395987387412,0.8002435090672042,0.725121536929655,2.2587978839874268,1.6761009693145752,0.33162611063167746,0.634070803536016,0.5902137672417226,0.7833184608912012,0.7063866266609515,355073,6,15.276352399998359
MLP,Mut_CNV,1,fingerprint,111799,2176,2.7689719200134277,1.8191508054733276,1.4052411317825317,0.597804661614004,0.7812353778905944,0.7088930741579857,0.8399344100213192,0.7646688419485946,1.9903539419174194,1.4623773097991943,0.48105016226465547,0.7253317995922686,0.6675680989286266,0.822867878611701,0.7645743766122098,1280769,1,13.979064604000087
MLP,Proteomics,1,onehot,134764,423,2.709749937057495,1.3611855506896973,1.036270022392273,0.7640851043229349,0.8749881679665487,0.831154472700729,0.9068106712779818,0.8300543205368147,1.2921186685562134,0.9822323322296143,0.7716490790720802,0.8786769105773161,0.8324708346261409,0.9093032382565178,0.8392610973256135,383233,24,34.15098822500113
MLP,Proteomics,1,onehot_restricted,111799,368,2.7689719200134277,1.3593199253082275,1.0262515544891357,0.7754345346677751,0.8810807055697086,0.840410441909323,0.9114746406599,0.8308219178082191,1.3304798603057861,1.0096445083618164,0.7681103460430518,0.8764919867114014,0.832025216066701,0.9085187293555296,0.8332202623247399,355073,33,35.3838844969996
MLP,Proteomics,1,fingerprint,111799,2176,2.7689719200134277,1.3292129039764404,1.0193634033203125,0.785271975074214,0.8861633911964677,0.8438672837652147,0.9127438084197331,0.8268975468975469,1.2843186855316162,0.9721336364746094,0.7839221099267074,0.8865789031685457,0.846111411842751,0.9152781857582297,0.8328341013824885,1280769,6,18.564371619000667
MLP,GE+Mut_CNV,2,onehot,134764,551,2.709749937057495,1.7484644651412964,1.2963348627090454,0.6107448661141883,0.7923137590359867,0.7540738855449137,0.8619523917160732,0.7977144881959516,1.8492809534072876,1.3854531049728394,0.5322608607589798,0.740407627686567,0.7051987846634459,0.8411494599292388,0.7771152754116979,448769,12,24.030183943001248
MLP,GE+Mut_CNV,2,onehot_restricted,111799,496,2.7689719200134277,1.8011614084243774,1.3659008741378784,0.605719883629878,0.7903087802614571,0.7472122106125139,0.8578056623450641,0.7769784172661871,2.1084492206573486,1.4724382162094116,0.4176406597547191,0.7026496521898759,0.7062345559766768,0.8403445881100967,0.7714629810173769,420609,13,20.52075783500004
MLP,GE+Mut_CNV,2,fingerprint,111799,2304,2.7689719200134277,1.4882553815841675,1.1455131769180298,0.7308127128537587,0.8575605529310368,0.8048372826780761,0.8870208034956348,0.8023300970873787,1.600993275642395,1.2245103120803833,0.6642285743804164,0.8280001989349706,0.7769401565095795,0.8772417984057218,0.8003897071465413,1346305,2,14.97133221399963
MLP,GE+Proteomics,2,onehot,134764,551,2.709749937057495,1.4684284925460815,1.115759253501892,0.7254469085112834,0.8542264053309359,0.8119500562578578,0.8965487551180621,0.8168744880313097,1.5127962827682495,1.1486968994140625,0.686989558229026,0.8308566605350063,0.7886789804886344,0.885160286690784,0.8087229190421893,448769,31,41.15392097199947
MLP,GE+Proteomics,2,onehot_restricted,111799,496,2.7689719200134277,1.5071462392807007,1.1443089246749878,0.7239355801977501,0.8519823410765756,0.8069165131668639,0.8939287561049518,0.8131781193490054,1.5559293031692505,1.185117244720459,0.6828648219950653,0.8302141198987879,0.7826174247507709,0.8823694201559453,0.8044124371284865,420609,28,31.535765729999184
MLP,GE+Proteomics,2,fingerprint,111799,2304,2.7689719200134277,1.3789258003234863,1.062051773071289,0.768909870264227,0.8773988282573343,0.8332802878116413,0.9065628643655432,0.8210805512310442,1.4514522552490234,1.1020879745483398,0.7240246800286849,0.8574716330278291,0.8127778214330249,0.8985997163961106,0.8161067540676578,1346305,5,17.89660464500048
MLP,Mut_CNV+Proteomics,2,onehot,134764,551,2.709749937057495,1.892236351966858,1.4222408533096313,0.5440980051062292,0.7474813464252017,0.7127273938370604,0.8424954553007971,0.7536203035580991,1.9206985235214233,1.443961501121521,0.495435953663637,0.7273387448782138,0.7008235120955496,0.8405502439826735,0.7431952662721893,448769,5,17.642887809000968
