model,omics,n_modalities,drug_rep,fusion,graph,n_pairs,n_attention_pairs,n_edge_types,mean_only_rmse,val_rmse,val_mae,val_r2,val_pcc,val_scc,val_auc,val_f1,test_rmse,test_mae,test_r2,test_pcc,test_scc,test_auc,test_f1,params,best_epoch,fit_seconds
FullArchitecture-GCN,GE+Mut_CNV+Proteomics,3,molecular_graph,cross_attention,PPI +mutation edges,111799,6,3,2.7689719200134277,1.2705029249191284,0.9603654742240906,0.8038217383669153,0.8974305774098552,0.8581144416526225,0.9196353852750665,0.8362430167597765,1.3396739959716797,1.0062483549118042,0.764894406427382,0.8773880268361479,0.8309259128721785,0.9086617015351446,0.8336568101381436,3319425,65,266.84900708400005
FullArchitecture-GAT,GE+Mut_CNV+Proteomics,3,molecular_graph,cross_attention,PPI +mutation edges,111799,6,3,2.7689719200134277,2.3765017986297607,1.7288308143615723,0.31360223365593565,0.5635543836845859,0.5298230736962475,0.7686759921947591,0.6563111865291738,2.3268558979034424,1.6906540393829346,0.29074289256499697,0.550003882068222,0.5110755152292964,0.7591497601640275,0.6484650555192685,3321985,10,133.09072897800002
