base_model,config,n_pairs,interaction_dim,mean_only_rmse,base_test_rmse,base_test_mae,base_test_r2,base_test_pcc,base_test_scc,base_test_auc,base_test_f1,refined_test_rmse,refined_test_mae,refined_test_r2,refined_test_pcc,refined_test_scc,refined_test_auc,refined_test_f1,base_val_rmse,base_val_mae,base_val_r2,base_val_pcc,base_val_scc,base_val_auc,base_val_f1,refined_val_rmse,refined_val_mae,refined_val_r2,refined_val_pcc,refined_val_scc,refined_val_auc,refined_val_f1,rmse_delta,rmse_pct_change,best_epoch
CrossAttention,GE+Proteomics | onehot,134764,128,2.709749937057495,1.244232416152954,0.9335572123527527,0.7882609730247202,0.8897254470334962,0.8480253045620819,0.9191389674560989,0.8423161308785653,1.2557313442230225,0.9341121912002563,0.7843291614594885,0.8898151628329594,0.8477285114480122,0.9187832344310807,0.8455924170616114,1.2127164602279663,0.91124427318573,0.8127424688226342,0.9021590851266889,0.8633849550576367,0.9234003596863409,0.8399253909799608,1.2261991500854492,0.9166278839111328,0.8085555528870656,0.9007428920491407,0.8608351607430963,0.9218605264176716,0.8403058074932332,-0.01149892807006836,-0.9241784670441178,24
GNN-GCN,tri-omics | fingerprint | +mutation_edges,111799,128,2.7689719200134277,1.3304778337478638,0.9969812631607056,0.768111090515722,0.8802391792568055,0.8353974578092839,0.9115804978032372,0.8307638606085287,1.3394155502319336,1.0044413805007935,0.7649850801599553,0.8784570772360448,0.8337285235721381,0.9099407697183455,0.8305833139669998,1.2833278179168701,0.9762071371078491,0.799841125021004,0.89443074067639,0.8523225900757304,0.9166351504756527,0.8319381098089025,1.2895824909210205,0.9786078929901123,0.7978853277659594,0.8933630233230613,0.8502649557218931,0.9153419676190871,0.8311748114890922,-0.008937716484069824,-0.6717674099757751,16
