model,omics,drug_rep,mutation_edges,n_pairs,n_edge_types,mean_only_rmse,val_rmse,val_mae,val_r2,val_pcc,val_scc,val_auc,val_f1,test_rmse,test_mae,test_r2,test_pcc,test_scc,test_auc,test_f1,params,best_epoch,fit_seconds
GNN-GCN,GE+Mut_CNV+Proteomics,fingerprint,False,111799,2,2.7689719200134277,1.3890043497085571,1.0629298686981201,0.7655194208291096,0.8785330757655213,0.8356838897374266,0.908367943391266,0.8073574494175353,1.400970220565796,1.0699362754821777,0.7428878854545233,0.8730906375626435,0.8306117090376846,0.9078149206761629,0.8037050668629616,2684673,5,88.93745762099934
GNN-GCN,GE+Mut_CNV+Proteomics,fingerprint,True,111799,3,2.7689719200134277,1.2804008722305298,0.9704664945602417,0.8007531220381684,0.89497978016109,0.8547764183955262,0.9170111439414059,0.8349959866987731,1.3513288497924805,1.01748526096344,0.7607858896600342,0.8756598769301444,0.8298030770820801,0.9081029214264701,0.829733163913596,2816257,6,108.23091997200027
GNN-GAT,GE+Mut_CNV+Proteomics,fingerprint,False,111799,2,2.7689719200134277,2.2934153079986572,1.6510871648788452,0.36075836067050104,0.6037681281780022,0.5849984932538969,0.7950109272034854,0.6765882121549859,2.254631519317627,1.6245331764221191,0.33408943395767754,0.5864683906815231,0.5631582733788161,0.7856855578198942,0.6694665004265372,2686209,14,278.14977310299946
GNN-GAT,GE+Mut_CNV+Proteomics,fingerprint,True,111799,3,2.7689719200134277,2.3909823894500732,1.7371941804885864,0.3052119449603149,0.5553438320218769,0.5169459807876217,0.7611301611553468,0.6452082919398636,2.3558292388916016,1.7216225862503052,0.27297005092800797,0.5358709099159594,0.4885589678932221,0.7482384148438702,0.6276709401709402,2818817,5,185.58519200500086
