config,label,n_seeds,recorded_rmse,rmse_mean,rmse_std,rmse_min,rmse_max,r2_mean,r2_std
E10,CrossAttention | GE+Proteomics | fingerprint,5,1.3205,1.3029347658157349,0.012596715211452659,1.286138892173767,1.3202649354934692,0.7775960308971351,0.004301660760041748
MG,CrossAttention | GE+Proteomics | molecular_graph,5,1.3021,1.3194427251815797,0.015329005292313432,1.3044496774673462,1.3408198356628418,0.7719171143631568,0.005306890255919061
E04,MLP | Proteomics | fingerprint,5,1.2843,1.3273214101791382,0.02862722425286131,1.2878062725067139,1.3630142211914062,0.7691241446160952,0.009941094096222826
