model,drug_rep,seed,n_pairs,mean_only_rmse,n_train_drugs,n_test_drugs,n_train_pairs,n_test_pairs,test_rmse,test_mae,test_r2,test_pcc,test_scc,test_auc,test_f1,val_rmse,val_mae,val_r2,val_pcc,val_scc,val_auc,val_f1,params,best_epoch,fit_seconds
CrossAttention,molecular_graph,42,111799,2.5499656200408936,168,36,78973,15948,2.241992235183716,1.7098089456558228,0.21216386025868006,0.5814851201602617,0.4621950575508186,0.7136425515912797,0.6552486886178348,2.2467966079711914,1.6688518524169922,0.19150877689809664,0.5339800803456455,0.37070937350055433,0.6707733305491544,0.6423611111111112,501377,48,272.48940641099944
CrossAttention,molecular_graph,43,111799,2.5499656200408936,168,36,78973,15948,2.338021755218506,1.813717246055603,0.14322892552757105,0.5045302644261501,0.40490278000646446,0.6867745790480699,0.627509778357236,2.441666603088379,1.8592606782913208,0.04518201911839226,0.4384518429310471,0.23320137906938057,0.6047672378545076,0.5699841279172301,501377,19,147.41404139600036
CrossAttention,molecular_graph,44,111799,2.5499656200408936,168,36,78973,15948,2.328178644180298,1.8093234300613403,0.15042772173049357,0.5184664687413382,0.3998889160392949,0.6774716767122398,0.6250868000757528,2.191126823425293,1.6495585441589355,0.2310770803548493,0.5501878974873405,0.3631121982141341,0.6625408952609846,0.6412317445941357,501377,14,125.24279767600001
