model,drug_rep,n_pairs,mean_only_rmse,train_drugs,test_drugs,drug_overlap,test_rmse,test_mae,test_r2,test_pcc,test_scc,test_auc,test_f1,val_rmse,val_mae,val_r2,val_pcc,val_scc,val_auc,val_f1,fit_seconds,best_epoch
RF,onehot,111799,2.5499656200408936,168,36,0,2.363806945537543,1.8325422870420984,0.12422653363735225,0.353323580002361,0.34930934834010874,0.6607696354138589,0.5984262209793848,2.3555739956557256,1.6691151779263662,0.11132842860464609,0.34951613855155356,0.38633995337970695,0.6917469375752512,0.6211793763507255,17.386375320998923,
RF,fingerprint,111799,2.5499656200408936,168,36,0,1.8718532697079517,1.532778293754458,0.4508242155495291,0.6733035252835632,0.5304870963016063,0.7382178519096567,0.6351966311213747,2.0678378926703274,1.5365417800356351,0.3151731749347969,0.5682549213818949,0.42065542469948874,0.6932013634780249,0.6293935530868694,36.48941122399992,
MLP,onehot,111799,2.5499656200408936,168,36,0,2.429795265197754,1.910264253616333,0.07464757122572807,0.3232637091093758,0.3207270054944092,0.6482431791591481,0.42924407156921496,2.3816111087799072,1.7813286781311035,0.09157419327863536,0.31824508409064056,0.3516422812335003,0.6740609410752214,0.43921823047603603,13.701408478998928,1.0
MLP,fingerprint,111799,2.5499656200408936,168,36,0,1.851624846458435,1.4776698350906372,0.4626295701644664,0.6883266332796705,0.5631381339104652,0.7599678903034635,0.6867849854678127,2.2034454345703125,1.6381863355636597,0.22240688152350496,0.5459641772711665,0.400319403664819,0.6795688795032397,0.6640448227561685,20.683078553000087,7.0
CrossAttention,onehot,111799,2.5499656200408936,168,36,0,2.4959118366241455,1.980904459953308,0.02360335872186692,0.3308096716240776,0.3271818393887454,0.6510799399560661,0.3928378621558395,2.429990530014038,1.88097083568573,0.054292256284441676,0.3247406352407228,0.3557911994327556,0.6764276686991707,0.40872677688767683,35.489454315997136,1.0
CrossAttention,fingerprint,111799,2.5499656200408936,168,36,0,1.9200012683868408,1.5459439754486084,0.4222089536791005,0.6618264424697042,0.5257972072695025,0.739596528951337,0.6733225846459134,2.2329258918762207,1.6661713123321533,0.20146049708557412,0.5235060908143447,0.38458461797077015,0.67202870395194,0.6471048513302035,85.44975175400032,20.0
